Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.11071428571428571, 0.5, 0.7272727272727273,  0.9648308465477993)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.2850715746421268, 0.3333333333333333, 0.7857142857142857,  0.9685842105000205)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.16342592592592592, 0.5, 0.7857142857142857,  0.9719557780799677)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.34774162214667315, 0.25, 0.7692307692307693,  0.966702986447068)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.2840418977202711, 0.3333333333333333, 0.8,  0.9677955414213029)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.14906027219701878, 0.16666666666666666, 0.6666666666666666,  0.9647416603557128)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.19702380952380952, 0.14285714285714285, 0.6666666666666666,  0.9645417133118575)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.2113095238095238, 0.14285714285714285, 0.6666666666666666,  0.9642674746924979)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.2113095238095238, 0.14285714285714285, 0.6666666666666666,  0.9642674746924979)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.19702380952380952, 0.14285714285714285, 0.6666666666666666,  0.9645417133118575)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.07285223367697595, 0.16666666666666666, 0.6666666666666666,  0.9677401815529082)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.21398933017190278, 0.14285714285714285, 0.5,  0.9613880986182164)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.21751740139211137, 0.14285714285714285, 0.6666666666666666,  0.9626875416484119)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.2113095238095238, 0.14285714285714285, 0.6666666666666666,  0.9642674746924979)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.19702380952380952, 0.14285714285714285, 0.6666666666666666,  0.9645491054447568)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.3053571428571429, 0.3333333333333333, 0.7857142857142857,  0.9639216595687683)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.24475524475524477, 0.3333333333333333, 1.0,  0.9626572196869594)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.2507936507936508, 0.5, 1.0,  0.9449567098493764)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.173015873015873, 0.5, 1.0,  0.9636625186643968)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.173015873015873, 0.5, 1.0,  0.9636204714233528)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.16666666666666666, 0.5, 1.0,  0.9633968407378084)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.173015873015873, 0.5, 1.0,  0.9636625186643968)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.173015873015873, 0.5, 1.0,  0.9636625186643968)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.17222222222222222, 0.5, 1.0,  0.963496063698349)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.19285714285714287, 0.5, 1.0,  0.9628204429316471)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.26504188880426505, 0.3333333333333333, 0.7142857142857143,  0.9588245921040538)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.07775377969762419, 0.3333333333333333, 0.75,  0.9734409234510474)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.07775377969762419, 0.3333333333333333, 0.75,  0.9734182554997421)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.07775377969762419, 0.3333333333333333, 0.75,  0.9734182554997421)
Summary(Edit distance, Size of privilege (global), Size of privilege (local),Similarity score):(0.07775377969762419, 0.3333333333333333, 0.75,  0.9734182554997421)
